theta_deg,F1,FC_E,FC_H,F_E,F_H
0.60161,0.999972,0.997604,0.998638,0.997576,0.998610
0.60734,0.999972,0.997558,0.998612,0.997530,0.998584
0.61306,0.999971,0.997512,0.998586,0.997483,0.998557
0.61879,0.999971,0.997465,0.998559,0.997436,0.998530
0.62452,0.999970,0.997418,0.998532,0.997388,0.998503
0.63025,0.999970,0.997370,0.998505,0.997340,0.998475
0.63598,0.999969,0.997322,0.998478,0.997292,0.998447
0.64171,0.999969,0.997274,0.998450,0.997243,0.998419
0.64744,0.999968,0.997225,0.998423,0.997193,0.998391
0.65317,0.999968,0.997176,0.998395,0.997143,0.998362
0.65890,0.999967,0.997126,0.998366,0.997093,0.998333
0.66463,0.999966,0.997076,0.998338,0.997042,0.998304
0.67036,0.999966,0.997025,0.998309,0.996991,0.998275
0.67609,0.999965,0.996974,0.998280,0.996940,0.998245
0.68182,0.999965,0.996923,0.998251,0.996888,0.998215
0.68755,0.999964,0.996871,0.998221,0.996835,0.998185
0.69328,0.999963,0.996819,0.998192,0.996782,0.998155
0.69901,0.999963,0.996766,0.998162,0.996729,0.998124
0.70474,0.999962,0.996713,0.998131,0.996675,0.998094
0.71047,0.999962,0.996659,0.998101,0.996621,0.998062
0.71620,0.999961,0.996605,0.998070,0.996566,0.998031
0.72193,0.999960,0.996551,0.998039,0.996511,0.997999
0.72766,0.999960,0.996496,0.998008,0.996455,0.997968
0.73339,0.999959,0.996440,0.997976,0.996399,0.997936
0.73912,0.999958,0.996385,0.997945,0.996343,0.997903
0.74485,0.999958,0.996328,0.997913,0.996286,0.997871
0.75057,0.999957,0.996272,0.997880,0.996229,0.997838
0.75630,0.999956,0.996215,0.997848,0.996171,0.997805
0.76203,0.999956,0.996157,0.997815,0.996113,0.997771
0.76776,0.999955,0.996099,0.997782,0.996054,0.997738
0.77349,0.999954,0.996041,0.997749,0.995995,0.997704
0.77922,0.999954,0.995982,0.997716,0.995936,0.997670
0.78495,0.999953,0.995923,0.997682,0.995876,0.997635
0.79068,0.999952,0.995863,0.997648,0.995816,0.997601
0.79641,0.999952,0.995803,0.997614,0.995755,0.997566
0.80214,0.999951,0.995742,0.997580,0.995694,0.997531
0.80787,0.999950,0.995682,0.997545,0.995632,0.997495
0.81360,0.999950,0.995620,0.997510,0.995570,0.997460
0.81933,0.999949,0.995558,0.997475,0.995507,0.997424
0.82506,0.999948,0.995496,0.997439,0.995444,0.997388
0.83079,0.999947,0.995433,0.997404,0.995381,0.997351
0.83652,0.999947,0.995370,0.997368,0.995317,0.997315
0.84225,0.999946,0.995307,0.997332,0.995253,0.997278
0.84798,0.999945,0.995243,0.997295,0.995188,0.997241
0.85371,0.999944,0.995178,0.997259,0.995123,0.997203
