theta_deg,FH_single,FE_single,FH_double,FE_double
25.22733,0.076347,0.069066,0.010673,0.009655
25.23306,0.076693,0.069375,0.010648,0.009632
25.23879,0.077038,0.069684,0.010622,0.009608
25.24452,0.077383,0.069993,0.010595,0.009583
25.25025,0.077728,0.070301,0.010568,0.009558
25.25598,0.078073,0.070610,0.010539,0.009532
25.26171,0.078418,0.070918,0.010511,0.009505
25.26744,0.078762,0.071227,0.010481,0.009478
25.27317,0.079107,0.071535,0.010451,0.009450
25.27890,0.079451,0.071843,0.010420,0.009422
25.28463,0.079795,0.072150,0.010388,0.009393
25.29036,0.080139,0.072458,0.010356,0.009363
25.29609,0.080483,0.072766,0.010323,0.009333
25.30182,0.080827,0.073073,0.010289,0.009302
25.30755,0.081170,0.073380,0.010255,0.009271
25.31328,0.081514,0.073687,0.010220,0.009239
25.31900,0.081857,0.073994,0.010184,0.009206
25.32473,0.082200,0.074301,0.010148,0.009173
25.33046,0.082543,0.074607,0.010111,0.009139
25.33619,0.082886,0.074914,0.010073,0.009104
25.34192,0.083229,0.075220,0.010035,0.009069
25.34765,0.083572,0.075526,0.009995,0.009033
25.35338,0.083914,0.075832,0.009956,0.008997
25.35911,0.084257,0.076138,0.009915,0.008960
25.36484,0.084599,0.076443,0.009874,0.008922
25.37057,0.084941,0.076749,0.009832,0.008884
25.37630,0.085283,0.077054,0.009790,0.008845
25.38203,0.085625,0.077359,0.009746,0.008806
25.38776,0.085966,0.077664,0.009703,0.008766
25.39349,0.086308,0.077969,0.009658,0.008725
25.39922,0.086649,0.078274,0.009613,0.008684
25.40495,0.086990,0.078578,0.009567,0.008642
25.41068,0.087332,0.078883,0.009520,0.008599
25.41641,0.087673,0.079187,0.009473,0.008556
25.42214,0.088013,0.079491,0.009425,0.008512
25.42787,0.088354,0.079795,0.009376,0.008468
25.43360,0.088695,0.080099,0.009327,0.008423
25.43933,0.089035,0.080402,0.009277,0.008378
25.44506,0.089375,0.080706,0.009226,0.008331
25.45079,0.089715,0.081009,0.009175,0.008285
25.45651,0.090055,0.081312,0.009123,0.008237
25.46224,0.090395,0.081615,0.009070,0.008189
25.46797,0.090735,0.081918,0.009017,0.008141
25.47370,0.091074,0.082220,0.008963,0.008092
25.47943,0.091414,0.082523,0.008908,0.008042
25.48516,0.091753,0.082825,0.008853,0.007991
25.49089,0.092092,0.083127,0.008797,0.007940
25.49662,0.092431,0.083429,0.008740,0.007889
25.50235,0.092770,0.083731,0.008683,0.007837
25.50808,0.093109,0.084033,0.008625,0.007784
25.51381,0.093447,0.084334,0.008566,0.007731
25.51954,0.093786,0.084636,0.008507,0.007677
25.52527,0.094124,0.084937,0.008446,0.007622
25.53100,0.094462,0.085238,0.008386,0.007567
25.53673,0.094800,0.085539,0.008324,0.007511
25.54246,0.095138,0.085840,0.008262,0.007455
25.54819,0.095475,0.086140,0.008200,0.007398
25.55392,0.095813,0.086440,0.008136,0.007340
25.55965,0.096150,0.086741,0.008072,0.007282
25.56538,0.096488,0.087041,0.008007,0.007223
25.57111,0.096825,0.087341,0.007942,0.007164
25.57684,0.097162,0.087640,0.007876,0.007104
25.58257,0.097498,0.087940,0.007809,0.007044
25.58830,0.097835,0.088239,0.007742,0.006982
25.59402,0.098171,0.088539,0.007674,0.006921
25.59975,0.098508,0.088838,0.007605,0.006858
25.60548,0.098844,0.089137,0.007536,0.006795
25.61121,0.099180,0.089435,0.007466,0.006732
25.61694,0.099516,0.089734,0.007395,0.006668
25.62267,0.099852,0.090032,0.007323,0.006603
25.62840,0.100187,0.090331,0.007251,0.006538
25.63413,0.100523,0.090629,0.007179,0.006472
25.63986,0.100858,0.090927,0.007105,0.006406
25.64559,0.101193,0.091225,0.007031,0.006339
25.65132,0.101528,0.091522,0.006957,0.006271
25.65705,0.101863,0.091820,0.006881,0.006203
25.66278,0.102198,0.092117,0.006805,0.006134
25.66851,0.102532,0.092414,0.006729,0.006065
25.67424,0.102867,0.092711,0.006651,0.005995
25.67997,0.103201,0.093008,0.006573,0.005924
25.68570,0.103535,0.093304,0.006495,0.005853
25.69143,0.103869,0.093601,0.006416,0.005781
25.69716,0.104203,0.093897,0.006336,0.005709
25.70289,0.104537,0.094193,0.006255,0.005636
25.70862,0.104870,0.094489,0.006174,0.005563
25.71435,0.105203,0.094785,0.006092,0.005489
25.72008,0.105537,0.095081,0.006009,0.005414
25.72581,0.105870,0.095376,0.005926,0.005339
25.73153,0.106203,0.095671,0.005842,0.005263
25.73726,0.106535,0.095966,0.005758,0.005187
25.74299,0.106868,0.096261,0.005673,0.005110
25.74872,0.107200,0.096556,0.005587,0.005032
25.75445,0.107533,0.096851,0.005501,0.004954
25.76018,0.107865,0.097145,0.005413,0.004875
25.76591,0.108197,0.097439,0.005326,0.004796
25.77164,0.108528,0.097734,0.005237,0.004716
25.77737,0.108860,0.098028,0.005148,0.004636
25.78310,0.109192,0.098321,0.005059,0.004555
25.78883,0.109523,0.098615,0.004968,0.004473
25.79456,0.109854,0.098908,0.004877,0.004391
25.80029,0.110185,0.099202,0.004786,0.004309
25.80602,0.110516,0.099495,0.004693,0.004225
25.81175,0.110847,0.099788,0.004601,0.004142
25.81748,0.111177,0.100080,0.004507,0.004057
